Person 1: Gender {'score': 0.7524689435958862, 'name': '女性'},Age {'score': 0.973360002040863, 'name': '青年'}, Facemask {'score': 0.6071211695671082, 'name': '不确定'}, Smoke {'score': 0.9856398105621338, 'name': '未吸烟'},Bag {'score': 0.9128464460372925, 'name': '无背包'}, Vehicle {'score': 0.9997698664665222, 'name': '无交通工具'}, Cellphone {'score': 0.93675696849823, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7777713537216187, 'name': '女性'},Age {'score': 0.9755144715309143, 'name': '青年'}, Facemask {'score': 0.5799568891525269, 'name': '不确定'}, Smoke {'score': 0.9880368709564209, 'name': '未吸烟'},Bag {'score': 0.9208329916000366, 'name': '无背包'}, Vehicle {'score': 0.999728262424469, 'name': '无交通工具'}, Cellphone {'score': 0.9435018301010132, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7466548681259155, 'name': '女性'},Age {'score': 0.9680037498474121, 'name': '青年'}, Facemask {'score': 0.9999989867210388, 'name': '不确定'}, Smoke {'score': 0.9833189249038696, 'name': '未吸烟'},Bag {'score': 0.8921706676483154, 'name': '无背包'}, Vehicle {'score': 0.9995410442352295, 'name': '无交通工具'}, Cellphone {'score': 0.9266332387924194, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7783796191215515, 'name': '女性'},Age {'score': 0.9703401327133179, 'name': '青年'}, Facemask {'score': 0.9999989867210388, 'name': '不确定'}, Smoke {'score': 0.9916791319847107, 'name': '未吸烟'},Bag {'score': 0.8899017572402954, 'name': '无背包'}, Vehicle {'score': 0.999618649482727, 'name': '无交通工具'}, Cellphone {'score': 0.9603036642074585, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7524689435958862, 'name': '女性'},Age {'score': 0.973360002040863, 'name': '青年'}, Facemask {'score': 0.6071211695671082, 'name': '不确定'}, Smoke {'score': 0.9856398105621338, 'name': '未吸烟'},Bag {'score': 0.9128464460372925, 'name': '无背包'}, Vehicle {'score': 0.9997698664665222, 'name': '无交通工具'}, Cellphone {'score': 0.93675696849823, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7777713537216187, 'name': '女性'},Age {'score': 0.9755144715309143, 'name': '青年'}, Facemask {'score': 0.5799568891525269, 'name': '不确定'}, Smoke {'score': 0.9880368709564209, 'name': '未吸烟'},Bag {'score': 0.9208329916000366, 'name': '无背包'}, Vehicle {'score': 0.999728262424469, 'name': '无交通工具'}, Cellphone {'score': 0.9435018301010132, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7466548681259155, 'name': '女性'},Age {'score': 0.9680037498474121, 'name': '青年'}, Facemask {'score': 0.9999989867210388, 'name': '不确定'}, Smoke {'score': 0.9833189249038696, 'name': '未吸烟'},Bag {'score': 0.8921706676483154, 'name': '无背包'}, Vehicle {'score': 0.9995410442352295, 'name': '无交通工具'}, Cellphone {'score': 0.9266332387924194, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7783796191215515, 'name': '女性'},Age {'score': 0.9703401327133179, 'name': '青年'}, Facemask {'score': 0.9999989867210388, 'name': '不确定'}, Smoke {'score': 0.9916791319847107, 'name': '未吸烟'},Bag {'score': 0.8899017572402954, 'name': '无背包'}, Vehicle {'score': 0.999618649482727, 'name': '无交通工具'}, Cellphone {'score': 0.9603036642074585, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7524689435958862, 'name': '女性'},Age {'score': 0.973360002040863, 'name': '青年'}, Facemask {'score': 0.6071211695671082, 'name': '不确定'}, Smoke {'score': 0.9856398105621338, 'name': '未吸烟'},Bag {'score': 0.9128464460372925, 'name': '无背包'}, Vehicle {'score': 0.9997698664665222, 'name': '无交通工具'}, Cellphone {'score': 0.93675696849823, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7777713537216187, 'name': '女性'},Age {'score': 0.9755144715309143, 'name': '青年'}, Facemask {'score': 0.5799568891525269, 'name': '不确定'}, Smoke {'score': 0.9880368709564209, 'name': '未吸烟'},Bag {'score': 0.9208329916000366, 'name': '无背包'}, Vehicle {'score': 0.999728262424469, 'name': '无交通工具'}, Cellphone {'score': 0.9435018301010132, 'name': '未使用手机'} 
Person 1: Gender {'score': 0.7466548681259155, 'name': '女性'},Age {'score': 0.9680037498474121, 'name': '青年'}, Facemask {'score': 0.9999989867210388, 'name': '不确定'}, Smoke {'score': 0.9833189249038696, 'name': '未吸烟'},Bag {'score': 0.8921706676483154, 'name': '无背包'}, Vehicle {'score': 0.9995410442352295, 'name': '无交通工具'}, Cellphone {'score': 0.9266332387924194, 'name': '未使用手机'} 
